Codigo Club;Provincia;Nombre Club
5001;Granada;GRANADA C.F. S.A.D.
5009;Granada;U.D. MARACENA
5011;Granada;C.D. SANTA FE
5012;Granada;ARENAS DE ARMILLA CULTURA Y DEPORTE C.F.
5016;Granada;C.D. CHURRIANA DE LA VEGA C.F.
5017;Granada;ATARFE INDUSTRIAL C.F.
5018;Granada;C.D. VANDALIA DE PELIGROS C.F.
5028;Granada;CELTIC C.F. PULIANAS
5062;Granada;C.D. ATLÉTICO LA ZUBIA 
5115;Granada;CULLAR VEGA C.F.
5194;Granada;C.D. ATLÉTICO MONACHIL
5206;Granada;C.D. HUETOR TAJAR
5259;Granada;SALAR CLUB FUTBOL
5289;Granada;C.F. FUTBOL TOURS C.F. ALHENDIN BALOMPIÉ
5359;Granada;MONTEFRIO C.F.
5663;Granada;C.D. WE FUTBOL CLUB
5670;Granada;C.D. ESTRELLAS CHANA BARRIO
5673;Granada;CLUB DE FUTBOL MOTRIL
5684;Granada;C. D. ALBOLOTE FUTSAL
5688;Granada;C.D. ALGARINEJO 2012 F.S.
5694;Granada;C.D. DAMA DE BAZA BM
5702;Granada;C.D. DE FUTBOL COSTA TROPICAL
5743;Granada;CIUDAD CHAUCHINA 2015 C.F.
5752;Granada;C.D. ESPAÑOL ALBOLOTE
5781;Granada;CLUB DE FÚTBOL IMPERIO DE ALBOLOTE
5791;Granada;C.F. VILLANUEVA MESIA
6001;Huelva;REAL CLUB RVO HUELVA, S.A.D.
6005;Huelva;AYAMONTE C.F.
6007;Huelva;C.D. MOGUER
6011;Huelva;C.D. SAN ROQUE DE LEPE S.A.D.
6013;Huelva;BOLLULLOS C.F.
6025;Huelva;C.D. PUNTA UMBRIA
6050;Huelva;C.D. SPORTING CLUB
6055;Huelva;CALAÑAS ATLETICO
6061;Huelva;C.D. TRIGUEROS BALOMPIE
6081;Huelva;C.D. SIEMPRE ALEGRES
6101;Huelva;ALMONTE BALOMPIE
6230;Huelva;C.D. CULTURAL NUEVO MOLINO
6247;Huelva;BEAS C.F.
6257;Huelva;C.D. VILLALBA F.S.
6278;Huelva;C.D. RUBIAS
6323;Huelva;ATLETICO AZAHAR C.F. FEMENINO
6345;Huelva;C.D. LAMIYA
70002;Jaén;C.D. U.D. CIUDAD DE TORREDONJIMENO
70008;Jaén;LINARES DEPORTIVO, S.A.D.
7001;Jaén;REAL JAEN C.F., S.A.D.
70015;Jaén;C.D. ALCALA ENJOY
70024;Jaén;JAMILENA ATCO. C.D. DE FUTBOL
70055;Jaén;C.D. CASTELLAR IBERO
70056;Jaén;ILITURGI C.F. 2016
7006;Jaén;MARTOS C.D.
70061;Jaén;C.D. U.D. GUARROMAN VETERANOS
70065;Jaén;DEPORTIVO JAEN C.F.
70068;Jaén;C.D. ALCAUDETE JUNIORS
70070;Jaén;CLUB DEPORTIVO ENTRECAMINOS
70079;Jaén;CLUB DEPORTIVO ANDUJAR F7-F11
70083;Jaén;CLUB DE FUTBOL CIUDAD DE LINARES
70088;Jaén;CLUB DEPORTIVO COLEGIO ALTOCASTILLO
70095;Jaén;C.D. JABALQUINTO
70098;Jaén;CLUB DEPORTIVO IBROS
70099;Jaén;CLUB DEPORTIVO LOS GACHIS FUTSAL
70105;Jaén;C.D. LUPIÓN ATLÉTICO C.F.
70109;Jaén;CLUB DEPORTIVO LONCHU
7011;Jaén;BAEZA C.F.
70113;Jaén;BALOMPÉDICA JAÉN FOOTBALL CLUB
7012;Jaén;ATLETICO DE PORCUNA C.F.
70120;Jaén;CLUB DEPORTIVO REALEB
70121;Jaén;CLUB DE FÚTBOL SANTISTEBAN
70129;Jaén;CLUB DEPORTIVO SPORTING LA CAROLINA BALOMPIE
70130;Jaén;CLUB DEPORTIVO INTER DE SABIOTE 2026
70132;Jaén;SECCIÓN DEPORTIVA CAZORLA
7015;Jaén;C.D. UTICA
7017;Jaén;HUELMA C.P.
7018;Jaén;U.D. GUARROMAN
7024;Jaén;ARQUILLOS C.F.
7025;Jaén;C.D. TORREPEROGIL
7027;Jaén;U.D. CAZORLA
7028;Jaén;BEGIJAR C.F.
7040;Jaén;VILLARGORDO C.F.
7047;Jaén;ASOC. DVA. LOPERA
7049;Jaén;C.D. VILLANUEVA
7072;Jaén;IBROS C.F.
7120;Jaén;C.D. NAVAS 2006
7151;Jaén;URGAVONA C.F.
7153;Jaén;C.D. A.D. CASTILLO DE LOCUBIN
7161;Jaén;C.F. SANTO TOME
7168;Jaén;ATLETICO MANCHA REAL
7197;Jaén;JODAR E.M.
7201;Jaén;VILLACARRILLO E.M.D.
7245;Jaén;FUENSANTA C.F.
7252;Jaén;ATLETICO JAEN F.C.
7254;Jaén;VILLANUEVA ARZOBISPO E.M.
7259;Jaén;C.D. BETIS ILITURGITANO
7262;Jaén;QUESADA C.D.
7271;Jaén;C.D. LINARES CLUB DE FUTBOL
7309;Jaén;ATLÉTICO SABIOTE
7312;Jaén;SIERRA DE SEGURA C.F.
7826;Jaén;C.D. UBEDA VIVA
7840;Jaén;C.D. TUGIA JUEGO LIMPIO ROMERO VERDE
7851;Jaén;C.D. HISPANIA DE TORREDELCAMPO
7860;Jaén;C.D. U.D. SAN FELIPE
7867;Jaén;C.D. BEAS DE SEGURA
7869;Jaén;CLUB ATLETICO ARJONILLA
7873;Jaén;INTER DE JAEN C.F.
7885;Jaén;CAROLINENSE C.D.
7887;Jaén;C.D. TUCCITANA
7890;Jaén;HUESA U.D.
7898;Jaén;C.D. ATLETICO MENGIBAR
80013;Málaga;COSTA UNIDA C.F.
8003;Málaga;MALAGA C.F. S.A.D.
80036;Málaga;UNION MANILVA C.F. C.D.
80050;Málaga;C.D. VALLE DE ABDALAJIS U.D.
80051;Málaga;FUENGIROLA ATHLETIC CLUB C.D.
8008;Málaga;C.D. RONDA
80086;Málaga;ARDALES ATLETICO C.D.
8009;Málaga;PTO.MALAGUEÑO CDAD.JARDIN G.I.
80090;Málaga;C.D. ESTEPONA FUTBOL BASE
8010;Málaga;U.D. FUENGIROLA LOS BOLICHES
8011;Málaga;C.D. EL PALO FÚTBOL CLUB
8012;Málaga;C.D. JUVENTUD DE TORREMOLINOS C.F.
8015;Málaga;C.D. ATLETICO BENAMIEL C.F.
8017;Málaga;ALHAURIN DE LA TORRE C.F.
80181;Málaga;C.D. ASOCIACIÓN DEPORTIVA BENALMADENA E.F.
80213;Málaga;C.D. ATLÉTICO FEMENINO BEN-NAMIEL
80235;Málaga;C. D. FUTSAL ARCHIDONA
8024;Málaga;C.D. MIJAS
80245;Málaga;CLUB DEPORTIVO GAMARRA
8025;Málaga;C.D. NERJA
80251;Málaga;C.D. VELEZ C.F. 1922
8026;Málaga;MARBELLA F.C.
80263;Málaga;ORTEGA MALAGA FUTBOL CLUB DEPORTIVO
8027;Málaga;C.D. RINCON
8028;Málaga;C.D. CHURRIANA
8047;Málaga;CAMPILLOS C.D.
8052;Málaga;C.D. CASABERMEJA
8063;Málaga;U.D. MORTADELO
8072;Málaga;C.D. ATHLETIC PUERTA BLANCA
8084;Málaga;C.D. TIRO PICHON
8086;Málaga;LA CALA C.D.
8113;Málaga;ARCHIDONA ATCO.
8144;Málaga;MALAKA C.F. A.D.
8174;Málaga;C.D. TRABUCO
8260;Málaga;C.D. VAZQUEZ CULTURAL
8282;Málaga;C.D. U.D. DOS HERMANAS SAN ANDRES
8343;Málaga;C.D. BENAGALBON
8400;Málaga;C.D. SIERRA DE YEGUAS
8401;Málaga;PEÑA COMPADRES
8419;Málaga;C.D. LA UNIDAD NUEVA MALAGA
8445;Málaga;A.D. ALMAYATE
8467;Málaga;CLUB POLIDEPORTIVO MIJAS LAS LAGUNAS
8475;Málaga;ANTEQUERA C.F. S.A.D.
8476;Málaga;C.D. 26 DE FEBRERO
8493;Málaga;U.D. LA MOSCA
8609;Málaga;CANDOR C.F.
8645;Málaga;C.D. ATLÉTICO DE MARBELLA PARAISO 
8646;Málaga;GUADALMAR C.D.
8688;Málaga;C.D.  FÚTBOL CLUB MARBELLI
8695;Málaga;C.D. E.F. JOSE SANTACRUZ
8756;Málaga;C.D. SAN FELIX
8762;Málaga;TOTALAN ATLETICO
